Si. No.,Meteorologicial Subdivisions,Period 01-06-2022 to 28-07-2022 - Actual,Period 01-06-2022 to 28-07-2022 - Normal,Period 01-06-2022 to 28-07-2022 - % Departure,Category
1,East & North East India,605.1,716.1,-15,N
2,Arunachal Pradesh,894.9,942.2,-5,N
3,Assam & Meghalaya,1106.6,996.3,11,N
4,NMMT,514.8,672.1,-23,D
5,SHWB & Sikkim,1021.4,995.7,3,N
6,Gangetic West Bengal,297.9,558.6,-47,D
7,Jharkhand,235.5,478.3,-51,D
8,Bihar,278.6,474.2,-41,D
North West India,North West India,273.4,266.2,3,N
1,East Uttar Pradesh,170,360.6,-53,D
2,west Uttar Pradesh,151.3,295.5,-49,D
3,Uttarakhand,472.2,552.1,-14,N
4,Haryana Chandigarh & Delhi,207.8,193.2,8,N
5,Punjab,227.9,199.4,14,N
6,Himachal Pradesh,297.4,330.9,-10,N
7,Jammu and Kashmir and Ladakh,304.8,243.9,25,E
8,West Rajasthan,258.1,136.1,90,LE
9,East Rajasthan,387.6,281.3,38,E
Central India,Central India,565.8,460,23,E
1,Odisha,498.1,515.6,-3,N
2,West Madhya Pradesh,536.7,386.4,39,E
3,East madhya Pradesh,454.3,460,-1,N
4,Gujarat Region,649.7,436.5,49,E
5,Saurashtra & Kutch,445.3,269,66,LE
6,Konkan & Goa,1854.9,1650.6,12,N
7,Madhya Maharastra,469.9,363.6,29,E
8,Marathwada,478.1,286.5,67,LE
9,Vidarbha,659.4,456,45,E
10,Chhattisgarh,566.2,524,8,N
South Peninsular India,South Peninsular India,448.7,346.3,30,E
1,Andaman and Nicobar Island,799.9,763.8,5,N
2,Coastal Andhra Pradesh & Yanam,309.3,252.4,23,E
3,Telangana,666.4,327.3,104,LE
4,Rayalaseema,176,156.2,13,N
5,Tamil Nadu Puducharry & Karaikal,204.4,113.4,80,LE
6,Coastal Karnataka,2098.1,1858.9,13,N
7,N. I. Karanataka,271.8,210.1,29,E
8,S. I. karnataka,448.8,331.7,35,E
9,Kerala & Mahe,938.5,1244.7,-25,D
10,Lakshadeep,639.3,605.2,6,N
Country India,Country India,459.1,418.9,10,N
