Sl. No,State/UT,2017-18 - Crop Loan - No. of A/cs,2017-18 - Crop Loan - Amount,2017-18 - Term Loan - No. of A/cs,2017-18 - Term Loan - Amount,2018-19 - Crop Loan - No. of A/cs,2018-19 - Crop Loan - Amount,2018-19 - Term Loan - No. of A/cs,2018-19 - Term Loan - Amount,2019-20 - Crop Loan - No. of A/cs,2019-20 - Crop Loan - Amount,2019-20 - Total Term Loan - No. of A/cs,2019-20 - Total Term Loan - Amount,2020-21 - Crop Loan - No. of A/cs,2020-21 - Crop Loan - Amount,2020-21 - Total Term Loan - No. of A/cs,2020-21 - Total Term Loan - Amount,2021-22 - Crop Loan - No. of A/cs,2021-22 - Crop Loan - Amount,2021-22 - Total Term Loan - No. of A/cs,2021-22 - Total Term Loan - Amount,2022-23 (as on 30 Nov 2022) - Crop Loan - No. of A/c.,2022-23 (as on 30 Nov 2022) - Crop Loan - Amount.,2022-23 (as on 30 Nov 2022) - Term Loan - No. of A/c.,2022-23 (as on 30 Nov 2022) - Term Loan - Amount.
1,Delhi,7323,6539.26,18314,12988.53,7584,1881,18767,22450,15583,754.59,38226,20877.92,19010,479.47,49049,13761.49,10233,2107.96,70371,16039.68,52650,2174.09,271374,8112.01
2,Haryana,2629738,38834.84,301705,16546.63,2748064,41162,514504,22186.72,2881536,43250.1,701724,21044.81,2973019,43284.79,770697,17370.68,3136523,48856.77,690999,18214.12,1943938,32751.76,340806,10069.48
3,Himachal Pradesh,1188126,10905.65,235039,3432.76,586423,4900,135835,1969.88,542729,5666.2,136841,2104.62,640903,6021.86,134268,1454.5,677801,7168.21,75940,1356.93,425069,5740.33,38643,910.48
4,Jammu and Kashmir,827812,9248.82,48713,2055.06,917330,10533,36153,2585.25,876168,10929.28,35888,2472.27,1222266,12368.96,35493,2383.82,1342704,11288.52,26017,2994.83,797337,5118.37,17090,1661.48
5,Ladakh,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,86976,847.78,2137,99.33,54628,338.45,160,3.01,212549,2090.47,15001,301.71
6,Punjab,2677464,52977.48,441335,20191.39,2872085,54023,605728,23433.58,2989280,57444.44,775381,23003.6,2861907,51951.83,678615,17217.73,3220905,57371.05,732795,17065.84,1922720,35598.46,360087,11718.87
7,Rajasthan,6546998,63582.55,705973,17331.06,6761137,61570,1200039,21510.52,6785350,67104.07,1903275,27946.54,7486651,75099.53,2012733,26396.71,7792334,91137.2,2065814,28019.62,6768872,81695.3,1220332,20151.03
8,Chandigarh,2401,1293.25,12005,1063.95,3177,408,33666,1584.01,3770,184.55,42550,1161.85,3957,141.65,42158,1019.11,9259,278.41,36984,950.22,2305,363.34,12294,611.88
9,Arunachal Pradesh,4481,26.74,1310,55,4618,25,842,31.32,4623,27.34,1187,83.47,36957,60.2,1529,25.4,7581,59.05,3287,79.25,14103,353.45,4281,77.85
10,Assam,386594,1506.92,653818,5248.38,243518,1057,729738,6189.18,395632,1535.53,727792,6177.38,228044,1137.42,1378569,10319.55,236623,1840.8,1102836,7472.46,203612,1398.39,168397,2705.28
11,Manipur,7697,36.77,14516,217.82,7200,38,14971,210.4,4227,33.06,19912,278.69,7966,71.48,21201,229.5,9629,131.89,19599,266.59,8649,91.81,8350,157.92
12,Meghalaya,38644,286.63,6013,64.11,25793,137,4993,62.08,28265,148.52,6905,56.89,32532,188.86,5806,62.48,30671,191.61,5557,81.18,16367,152.21,25800,54.98
13,Mizoram,5228,23.25,10792,151.69,2631,17,8432,345.6,1603,12.77,13766,153.59,4791,34.36,21269,295.37,6480,52.38,17003,248.85,6814,52.18,12636,158.9
14,Nagaland,30984,82.63,4196,122.38,33824,83,4627,125.96,31737,104.75,4702,172.82,36411,158.13,8438,80.85,37447,162.58,8382,118.52,17055,97.51,3030,63.18
15,Sikkim,5670,65.75,4419,59.22,7324,59,5882,100.83,6491,70.63,7950,103.55,5366,54.64,10087,132.69,6587,81.19,9642,138.98,6406,182.14,3950,52.14
16,Tripura,88618,704.75,245578,1620.98,65919,413,331560,2278.13,69787,202.52,302713,2647.86,73236,313.55,474205,3337.22,72431,362.83,431206,2796.61,41801,262.23,70303,500.57
17,Andman and Nicobar Island,3799,42.05,8568,78.18,3238,31,7356,98.77,2195,26.24,9567,122.38,5476,56.3,10397,149.67,7374,153.11,9122,156.9,24716,219.97,23202,211.04
18,Bihar,2923669,14435.14,1714957,14777.8,2247498,17886,2736344,17941.44,2122029,17163.42,3713196,23670.78,2355668,19883.5,4284892,27097.4,1474070,52176.42,6044606,34912.63,1061663,8753.42,1947230,14146.86
19,Jharkhand,644044,2100.4,177472,1678.4,533134,1757,369841,2334.37,485438,1768.11,663620,3669.05,987828,3224.07,820434,3792.34,762466,3666,1257160,6134.14,324511,2683.76,565729,2576.98
20,Odisha,4101690,15650.02,843760,7121.04,4406160,17338,1511951,10077.93,4220048,17981.35,1709016,12417.1,4635636,21098.39,2024167,13048.27,4498707,23883.04,2943350,18095.04,2527689,14133.82,1446061,9436.71
21,West Bengal,2520414,14843.58,2667668,26024.27,2480794,12218,3648283,34108.53,2800284,13620.37,4131898,41229.05,2943594,11336.59,6140217,51320.72,2776066,16459.75,5869983,46089.7,1869571,11456.87,1668676,19665.73
22,Chhattisgarh,1490832,10839.66,453934,4294.75,1567170,6421,244083,3970.08,1917082,9831.97,329547,5292.75,2016828,11721.1,433725,7006.49,1310261,12485.7,527390,6838.48,1664125,11784.44,244210,4228.43
23,Madhya Pradesh,6465686,45917.69,750161,14119.25,6939372,44147,1104581,17327.32,6284120,41870.75,1480075,20625.84,7012646,54327.96,1799384,25781.72,6961541,61297.75,2142874,26994.2,3758468,36637.37,952570,14474.71
24,Uttarakhand,493225,4692.68,120160,3183.81,560048,5300,167086,5035.82,469675,4597.99,174251,5906.81,484403,4735.73,241993,4912.32,467562,5933.25,241585,3450.24,415102,5022.18,104485,2172.86
25,Uttar Pradesh,8415959,61512.45,1038515,22535.64,8764904,60452,1637804,28608.39,9116174,74368.89,2479274,34519.53,9005685,81769.64,3092513,32853.79,8353431,89003.42,3461320,33165.28,5724778,62954.69,1392667,16717.14
26,Goa,24537,339.18,33232,898.97,26980,340,35027,979.27,24965,290.04,38107,703.19,35190,441.63,40598,932.83,29470,420.8,51897,1052.8,73134,872.41,27924,891.15
27,Gujarat,3113147,39650.38,604126,22907.52,3189731,39850,768708,26260.71,3165165,43964.84,1114862,29263.83,3354262,53754.86,1172767,31179.24,3073364,69476.97,1163253,33640.79,2621354,61573.54,565406,21091.99
28,Maharashtra,4020012,27371.37,1126634,45107.38,4607603,33666,1734643,49903.96,3943966,31547.06,2117098,50302.66,6948404,47719.27,2270697,50420.35,6016436,62199.83,3438189,59992.75,4429747,49371.58,1685212,29754.79
29,Dadra and Nagar Haveli,1229,13.04,912,52.8,569,11,1010,59.61,613,11.46,1131,100.13,1012,17.11,5814,538.26,2023,41.01,5610,129.43,1015,51.24,999,86.19
30,Daman and Diu,563,12.16,828,21.1,522,10,615,33.99,668,11.54,621,11.5,2887,50.49,1571,96.67,1209,31.36,1078,31.67,167781,1490.66,20687,507.02
